      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,       |Ap|,       /_Ap,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
        Hz,         dB,       Rads,         dB,       Rads,         dB,       Rads,          V,          V,          V,          V,          L,          L,          A,          A,          A,          A,          L,          L,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W
 1.727e+06, -3.790e+01,  1.865e+00, -2.753e+01, -2.848e+00, -3.271e+01, -1.570e+00,  4.579e+00,  1.387e+00, -3.383e-02,  5.069e-02, -3.695e-03,  1.219e-02,  8.425e-03, -2.775e-02, -6.767e-04,  1.014e-03, -4.023e-02, -1.217e-02,  8.832e-02,  1.650e+02,  8.832e-02,  1.650e+02,  7.428e-05,  1.387e-01,  7.428e-05,  0.000e+00,
 1.767e+06, -3.851e+01,  1.858e+00, -2.793e+01, -2.855e+00, -3.322e+01, -1.570e+00,  4.598e+00,  1.359e+00, -3.092e-02,  4.774e-02, -3.363e-03,  1.138e-02,  8.045e-03, -2.717e-02, -6.185e-04,  9.549e-04, -3.850e-02, -1.136e-02,  8.057e-02,  1.692e+02,  8.057e-02,  1.692e+02,  6.471e-05,  1.359e-01,  6.471e-05,  3.388e-21,
 1.807e+06, -3.912e+01,  1.852e+00, -2.832e+01, -2.861e+00, -3.372e+01, -1.570e+00,  4.616e+00,  1.331e+00, -2.832e-02,  4.501e-02, -3.068e-03,  1.064e-02,  7.689e-03, -2.662e-02, -5.664e-04,  9.002e-04, -3.688e-02, -1.062e-02,  7.365e-02,  1.734e+02,  7.365e-02,  1.734e+02,  5.655e-05,  1.331e-01,  5.655e-05,  1.016e-20,
 1.847e+06, -3.971e+01,  1.845e+00, -2.870e+01, -2.867e+00, -3.420e+01, -1.570e+00,  4.632e+00,  1.304e+00, -2.598e-02,  4.247e-02, -2.805e-03,  9.958e-03,  7.357e-03, -2.609e-02, -5.196e-04,  8.493e-04, -3.536e-02, -9.945e-03,  6.746e-02,  1.775e+02,  6.746e-02,  1.775e+02,  4.957e-05,  1.304e-01,  4.957e-05,  0.000e+00,
 1.888e+06, -4.028e+01,  1.839e+00, -2.907e+01, -2.873e+00, -3.468e+01, -1.570e+00,  4.648e+00,  1.279e+00, -2.388e-02,  4.010e-02, -2.569e-03,  9.336e-03,  7.046e-03, -2.558e-02, -4.776e-04,  8.021e-04, -3.393e-02, -9.325e-03,  6.191e-02,  1.817e+02,  6.191e-02,  1.817e+02,  4.357e-05,  1.279e-01,  4.357e-05,  3.388e-21,
 1.928e+06, -4.084e+01,  1.834e+00, -2.944e+01, -2.879e+00, -3.514e+01, -1.570e+00,  4.662e+00,  1.254e+00, -2.198e-02,  3.790e-02, -2.358e-03,  8.764e-03,  6.755e-03, -2.508e-02, -4.397e-04,  7.581e-04, -3.258e-02, -8.755e-03,  5.691e-02,  1.859e+02,  5.691e-02,  1.859e+02,  3.840e-05,  1.254e-01,  3.840e-05,  0.000e+00,
 1.968e+06, -4.139e+01,  1.828e+00, -2.980e+01, -2.885e+00, -3.559e+01, -1.571e+00,  4.676e+00,  1.230e+00, -2.027e-02,  3.586e-02, -2.168e-03,  8.239e-03,  6.481e-03, -2.460e-02, -4.054e-04,  7.171e-04, -3.131e-02, -8.230e-03,  5.241e-02,  1.900e+02,  5.241e-02,  1.900e+02,  3.393e-05,  1.230e-01,  3.393e-05, -1.694e-21,
 2.008e+06, -4.193e+01,  1.823e+00, -3.015e+01, -2.890e+00, -3.604e+01, -1.571e+00,  4.689e+00,  1.207e+00, -1.872e-02,  3.395e-02, -1.997e-03,  7.754e-03,  6.223e-03, -2.415e-02, -3.745e-04,  6.789e-04, -3.012e-02, -7.747e-03,  4.835e-02,  1.942e+02,  4.835e-02,  1.942e+02,  3.006e-05,  1.207e-01,  3.006e-05,  6.776e-21,
 2.048e+06, -4.246e+01,  1.818e+00, -3.049e+01, -2.895e+00, -3.647e+01, -1.571e+00,  4.701e+00,  1.185e+00, -1.732e-02,  3.217e-02, -1.842e-03,  7.307e-03,  5.981e-03, -2.370e-02, -3.464e-04,  6.433e-04, -2.898e-02, -7.301e-03,  4.467e-02,  1.983e+02,  4.467e-02,  1.983e+02,  2.669e-05,  1.185e-01,  2.669e-05,  0.000e+00,
 2.088e+06, -4.297e+01,  1.813e+00, -3.083e+01, -2.900e+00, -3.690e+01, -1.571e+00,  4.712e+00,  1.164e+00, -1.604e-02,  3.050e-02, -1.702e-03,  6.893e-03,  5.752e-03, -2.327e-02, -3.209e-04,  6.101e-04, -2.791e-02, -6.888e-03,  4.133e-02,  2.025e+02,  4.133e-02,  2.025e+02,  2.376e-05,  1.164e-01,  2.376e-05,  1.694e-21,
