      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,      |Pin|,      /_Pin,     |Pout|,     /_Pout,    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout)
        Hz,         dB,       Rads,         dB,       Rads,        dBW,       Rads,        dBW,       Rads,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A
 3.154e+05,  8.616e-01, -1.180e+00, -1.628e+00, -7.658e-01, -1.694e+01,  4.140e-01, -1.733e+01,  9.374e-17,  2.172e+02,  9.544e+01,  3.863e+02, -1.692e+02,  2.129e+00,  5.139e-01,  1.421e+00, -1.957e+00,  9.086e-03, -1.626e-03,  4.496e-03, -6.193e-03,
 3.222e+05, -1.642e+00, -2.450e+00,  1.060e+00, -2.088e+00, -1.700e+01,  3.621e-01, -1.729e+01, -9.303e-17,  4.033e+02,  1.528e+02,  2.168e+02, -8.243e+01,  2.898e+00,  4.463e-01, -1.612e+00, -1.815e+00,  6.651e-03, -1.412e-03, -5.101e-03, -5.743e-03,
 3.289e+05,  1.222e+00,  2.394e+00, -1.442e+00,  2.619e+00, -1.709e+01,  2.244e-01, -1.720e+01, -1.819e-16,  2.267e+02,  5.174e+01,  4.192e+02, -9.509e+01,  2.115e+00,  2.751e-01, -2.001e+00,  1.422e+00,  9.130e-03, -8.705e-04, -6.331e-03,  4.501e-03,
 3.356e+05, -1.693e+00,  9.151e-01,  2.917e-01,  1.468e+00, -1.676e+01,  5.530e-01, -1.746e+01, -9.674e-17,  3.379e+02,  2.086e+02,  2.144e+02, -1.326e+02,  2.807e+00,  6.995e-01,  9.520e-01,  2.182e+00,  6.940e-03, -2.214e-03,  3.013e-03,  6.904e-03,
 3.423e+05,  8.168e-01, -3.276e-01, -8.317e-01, -2.690e-01, -1.707e+01,  5.861e-02, -1.708e+01, -4.429e-17,  2.609e+02,  1.531e+01,  3.815e+02, -2.208e+01,  2.263e+00,  7.262e-02,  2.380e+00, -7.246e-01,  8.661e-03, -2.298e-04,  7.531e-03, -2.293e-03,
 3.490e+05, -1.348e+00, -2.008e+00, -6.956e-01, -1.348e+00, -1.656e+01,  6.594e-01, -1.759e+01,  4.975e-17,  2.692e+02,  2.087e+02,  2.322e+02, -1.801e+02,  2.605e+00,  8.541e-01, -2.811e-01, -2.330e+00,  7.580e-03, -2.703e-03, -8.895e-04, -7.374e-03,
 3.557e+05, -6.345e-02, -3.121e+00,  6.345e-02, -3.121e+00, -1.704e+01,  2.723e-04, -1.704e+01,  0.000e+00,  3.207e+02,  8.732e-02,  3.114e+02, -1.034e-01,  2.518e+00,  3.404e-04, -2.499e+00, -5.169e-02,  7.854e-03, -1.077e-06, -7.909e-03, -1.636e-04,
 3.624e+05, -6.755e-01,  1.367e+00, -1.498e+00,  2.045e+00, -1.654e+01,  6.783e-01, -1.763e+01, -2.511e-17,  2.238e+02,  1.804e+02,  2.712e+02, -2.184e+02,  2.367e+00,  8.798e-01, -3.538e-01,  2.309e+00,  8.332e-03, -2.784e-03, -1.119e-03,  7.308e-03,
 3.691e+05, -9.749e-01,  2.902e-01,  9.508e-01,  3.647e-01, -1.709e+01,  7.448e-02, -1.710e+01, -4.446e-17,  3.933e+02,  2.935e+01,  2.525e+02, -1.907e+01,  2.776e+00,  9.201e-02,  2.354e+00,  7.889e-01,  7.037e-03, -2.912e-04,  7.450e-03,  2.497e-03,
 3.758e+05,  1.854e-01, -1.510e+00, -1.968e+00, -8.912e-01, -1.669e+01,  6.191e-01, -1.758e+01,  4.968e-17,  2.008e+02,  1.431e+02,  3.307e+02, -2.353e+02,  2.161e+00,  7.862e-01,  9.351e-01, -2.155e+00,  8.985e-03, -2.488e-03,  2.959e-03, -6.818e-03,
 3.826e+05, -1.677e+00, -2.640e+00,  1.399e+00, -2.389e+00, -1.711e+01,  2.516e-01, -1.725e+01,  0.000e+00,  4.361e+02,  1.121e+02,  2.149e+02, -5.555e+01,  2.945e+00,  3.063e-01, -2.008e+00, -1.388e+00,  6.503e-03, -9.694e-04, -6.354e-03, -4.392e-03,
 3.893e+05,  9.933e-01,  1.937e+00, -2.092e+00,  2.429e+00, -1.692e+01,  4.924e-01, -1.747e+01, -9.679e-17,  1.952e+02,  1.047e+02,  3.982e+02, -2.130e+02,  2.034e+00,  6.077e-01, -1.452e+00,  1.885e+00,  9.387e-03, -1.923e-03, -4.595e-03,  5.966e-03,
 3.960e+05, -2.103e+00,  6.735e-01,  1.150e+00,  1.133e+00, -1.697e+01,  4.599e-01, -1.744e+01, -9.627e-17,  4.118e+02,  2.040e+02,  1.949e+02, -9.686e+01,  2.987e+00,  5.641e-01,  1.557e+00,  1.809e+00,  6.369e-03, -1.785e-03,  4.926e-03,  5.724e-03,
 4.027e+05,  1.441e+00, -8.692e-01, -1.903e+00, -5.457e-01, -1.709e+01,  3.235e-01, -1.732e+01,  9.358e-17,  2.039e+02,  6.835e+01,  4.410e+02, -1.472e+02,  2.012e+00,  3.928e-01,  1.887e+00, -1.515e+00,  9.454e-03, -1.243e-03,  5.973e-03, -4.795e-03,
 4.094e+05, -2.263e+00, -2.320e+00,  3.969e-01, -1.688e+00, -1.671e+01,  6.323e-01, -1.764e+01,  5.039e-17,  3.462e+02,  2.537e+02,  1.880e+02, -1.380e+02,  2.919e+00,  7.970e-01, -1.083e+00, -2.066e+00,  6.584e-03, -2.522e-03, -3.426e-03, -6.537e-03,
 4.161e+05,  1.348e+00,  2.602e+00, -1.458e+00,  2.761e+00, -1.712e+01,  1.592e-01, -1.718e+01,  4.530e-17,  2.259e+02,  3.626e+01,  4.313e+02, -6.875e+01,  2.097e+00,  1.943e-01, -2.217e+00,  1.064e+00,  9.186e-03, -6.147e-04, -7.017e-03,  3.369e-03,
 4.228e+05, -2.197e+00,  9.544e-01, -4.917e-01,  1.701e+00, -1.647e+01,  7.469e-01, -1.781e+01,  5.238e-17,  2.822e+02,  2.612e+02,  1.909e+02, -1.769e+02,  2.782e+00,  9.688e-01,  6.349e-01,  2.198e+00,  7.020e-03, -3.066e-03,  2.009e-03,  6.954e-03,
